en-CA;ESDASP3MLPC;170032;AfterShot Pro 3;79.99;39.99;;50%;-50%;($40)
en-CA;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;59.99;29.99;;50%;-50%;($30)
da-DK;ESDASP3MLPC;170032;AfterShot Pro 3;500;250;;50%;-50%;($250)
da-DK;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;380;190;;50%;-50%;($190)
de-DE;ESDASP3MLPC;170032;AfterShot Pro 3;89,99;44,99;;50 %;-50%;($45)
de-DE;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;69,99;34,99;;50 %;-50%;($35)
de-LI;ESDASP3MLPC;170032;AfterShot Pro 3;69.95;34.95;;50%;-50%;($35)
de-LI;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;52.95;25.95;;50%;-51%;($27)
en-AU;ESDASP3MLPC;170032;AfterShot Pro 3;79;39;;50%;-51%;($40)
en-AU;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;59;29;;50%;-51%;($30)
en-GB;ESDASP3MLPC;170032;AfterShot Pro 3;79.99;39.99;;50%;-50%;($40)
en-GB;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;54.99;26.99;;50%;-51%;($28)
en-IE;ESDASP3MLPC;170032;AfterShot Pro 3;89.99;44.99;;50%;-50%;($45)
en-IE;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;69.99;34.99;;50%;-50%;($35)
en-NZ;ESDASP3MLPC;170032;AfterShot Pro 3;95;47;;50%;-51%;($48)
en-NZ;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;70;35;;50%;-50%;($35)
en-US;ESDASP3MLPC;170032;AfterShot Pro 3;79.99;39.99;;50%;-50%;($40)
en-US;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;59.99;29.99;;50%;-50%;($30)
en-ZA;ESDASP3MLPC;170032;AfterShot Pro 3;845;422;;50%;-50%;($423)
en-ZA;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;635;317;;50%;-50%;($318)
es-ES;ESDASP3MLPC;170032;AfterShot Pro 3;89,99;44,99;;50%;-50%;($45)
es-ES;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;69,99;34,99;;50%;-50%;($35)
es-MX;ESDASP3MLPC;170032;AfterShot Pro 3;1,050;525;;50%;-50%;($525)
es-MX;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;800;400;;50%;-50%;($400)
fr-FR;ESDASP3MLPC;170032;AfterShot Pro 3;89,99;44,99;;50 %;-50%;($45)
fr-FR;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;69,99;34,99;;50 %;-50%;($35)
it-IT;ESDASP3MLPC;170032;AfterShot Pro 3;89,99;44,99;;50%;-50%;($45)
it-IT;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;69,99;34,99;;50%;-50%;($35)
ja-JP;ESDASP3MLPC;170032;AfterShot Pro 3;10,584;5,280;;50%;-50%;($5,304)
ja-JP;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;7,409;3,680;;50%;-50%;($3,729)
nb-NO;ESDASP3MLPC;170032;AfterShot Pro 3;475;237;;50%;-50%;($238)
nb-NO;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;355;177;;50%;-50%;($178)
nl-NL;ESDASP3MLPC;170032;AfterShot Pro 3;89,99;44,99;;50%;-50%;($45)
nl-NL;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;69,99;34,99;;50%;-50%;($35)
pl-PL;ESDASP3MLPC;170032;AfterShot Pro 3;295;147;;50%;-50%;($148)
pl-PL;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;220;110;;50%;-50%;($110)
pt-BR;ESDASP3MLPC;170032;AfterShot Pro 3;179;89;;50%;-50%;($90)
pt-BR;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;135;67;;50%;-50%;($68)
ru-RU;ESDASP3MLPC;170032;AfterShot Pro 3;6,300;;;;;
ru-RU;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;4,700;;;;;
se-SE;ESDASP3MLPC;170032;AfterShot Pro 3;645;322;;50%;-50%;($323)
se-SE;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;475;237;;50%;-50%;($238)
en-RW;ESDASP3MLPC;170032;AfterShot Pro 3;79.99;39.99;;50%;-50%;($40)
en-RW;ESDASP3MLPCUG;170033;AfterShot Pro 3 UG;59.99;29.99;;50%;-50%;($30)
