en-CA;CDGS2020EFDPECOM;5362018000;OL_DR22;649;519;;CA$ 130;-20%;($130)
en-CA;ESDCDGS2020AM;223823;OL_DR22;649;519;;CA$ 130;-20%;($130)
en-CA;ESDCDGS2020MAM;223824;OL_DR22;649;519;;CA$ 130;-20%;($130)
cs-CZ;ESDCDGS2020AM;223827;OL_DR22;18 500;15 725;;15%;-20%;($3,700)
cs-CZ;ESDCDGS2020MAM;223828;OL_DR22;18 500;15 725;;15%;-20%;($3,700)
da-DK;CDGS2020EFDPECOM;5362018000;OL_DR22;5,600;4,760;;15%;-15%;($840)
da-DK;ESDCDGS2020AM;223825;OL_DR22;5,600;4,760;;15%;-15%;($840)
da-DK;ESDCDGS2020MAM;223826;OL_DR22;5,600;4,760;;15%;-15%;($840)
de-DE;ESDCDGS2020AM;223825;OL_DR22;719;609;;15 %;-15%;($110)
de-DE;ESDCDGS2020MAM;223826;OL_DR22;719;609;;15 %;-15%;($110)
de-LI;CDGS2020EFDPECOM;5362018000;OL_DR22;700;595;;15%;-20%;($140)
de-LI;ESDCDGS2020AM;223825;OL_DR22;700;595;;15%;-15%;($105)
de-LI;ESDCDGS2020MAM;223826;OL_DR22;700;595;;15%;-15%;($105)
en-AU;ESDCDGS2020AM;223829;OL_DR22;1,099;822;;25%;-20%;($220)
en-AU;ESDCDGS2020MAM;223830;OL_DR22;1,099;822;;25%;-20%;($220)
en-GB;CDGS2020EFDPECOM;5362018000;OL_DR22;599;509;;15%;-15%;($90)
en-GB;ESDCDGS2020AM;223825;OL_DR22;599;509;;15%;-15%;($90)
en-GB;ESDCDGS2020MAM;223826;OL_DR22;599;509;;15%;-15%;($90)
en-IE;CDGS2020EFDPECOM;5362018000;OL_DR22;719;609;;15%;-15%;($110)
en-IE;ESDCDGS2020AM;223825;OL_DR22;719;609;;15%;-15%;($110)
en-IE;ESDCDGS2020MAM;223826;OL_DR22;719;609;;15%;-15%;($110)
en-MY;ESDCDGS2020AM;223829;OL_DR22;2,900;2,170;;25%;-20%;($580)
en-MY;ESDCDGS2020MAM;223830;OL_DR22;2,900;2,170;;25%;-20%;($580)
en-NZ;ESDCDGS2020AM;223829;OL_DR22;1,199;895;;25%;-20%;($240)
en-NZ;ESDCDGS2020MAM;223830;OL_DR22;1,199;895;;25%;-20%;($240)
en-RW;ESDCDGS2020AM;223825;OL_DR22;785;665;;15%;-15%;($120)
en-RW;ESDCDGS2020MAM;223826;OL_DR22;785;665;;15%;-15%;($120)
en-SG;ESDCDGS2020AM;223829;OL_DR22;980;784;;20%;-20%;($196)
en-SG;ESDCDGS2020MAM;223830;OL_DR22;980;784;;20%;-20%;($196)
en-US;CDGS2020EFDPECOM;5362018000;OL_DR22;499;399;;$100;-20%;($100)
en-US;ESDCDGS2020AM;223823;OL_DR22;499;399;;$100;-20%;($100)
en-US;ESDCDGS2020MAM;223824;OL_DR22;499;399;;$100;-20%;($100)
en-ZA;ESDCDGS2020AM;223825;OL_DR22;11 600;9 860;;15%;-15%;($1,740)
en-ZA;ESDCDGS2020MAM;223826;OL_DR22;11 600;9 860;;15%;-15%;($1,740)
es-AR;ESDCDGS2020AM;223823;OL_DR22;40.599;32.479;;20%;-20%;($8,120)
es-AR;ESDCDGS2020MAM;223824;OL_DR22;40.599;32.479;;20%;-20%;($8,120)
es-CL;ESDCDGS2020AM;223823;OL_DR22;531.900;425.520;;20%;-20%;($106,380)
es-CL;ESDCDGS2020MAM;223824;OL_DR22;531.900;425.520;;20%;-20%;($106,380)
es-CO;ESDCDGS2020AM;223823;OL_DR22;2.697.000;2.157.600;;20%;-20%;($539,400)
es-CO;ESDCDGS2020MAM;223824;OL_DR22;2.697.000;2.157.600;;20%;-20%;($539,400)
es-ES;ESDCDGS2020AM;223825;OL_DR22;719;609;;15%;-15%;($110)
es-ES;ESDCDGS2020MAM;223826;OL_DR22;719;609;;15%;-15%;($110)
es-MX;ESDCDGS2020AM;223823;OL_DR22;12,570;10,056;;20%;-20%;($2,514)
es-MX;ESDCDGS2020MAM;223824;OL_DR22;12,570;10,056;;20%;-20%;($2,514)
es-PE;ESDCDGS2020AM;223823;OL_DR22;2,235;1,788;;20%;-20%;($447)
es-PE;ESDCDGS2020MAM;223824;OL_DR22;2,235;1,788;;20%;-20%;($447)
fr-FR;ESDCDGS2020AM;223825;OL_DR22;719;609;;15 %;-15%;($110)
fr-FR;ESDCDGS2020MAM;223826;OL_DR22;719;609;;15 %;-15%;($110)
it-IT;ESDCDGS2020AM;223825;OL_DR22;719;609;;15%;-15%;($110)
it-IT;ESDCDGS2020MAM;223826;OL_DR22;719;609;;15%;-15%;($110)
ja-JP;ESDCDGS2020AM;223829;OL_DR22;79,560;59,520;;25%;-20%;($15,920)
ja-JP;ESDCDGS2020MAM;223830;OL_DR22;79,560;59,520;;25%;-20%;($15,920)
ko-KR;ESDCDGS2020AM;223829;OL_DR22;795,000;594,730;;25%;-20%;($159,000)
ko-KR;ESDCDGS2020MAM;223830;OL_DR22;795,000;594,730;;25%;-20%;($159,000)
nb-NO;CDGS2020EFDPECOM;5362018000;OL_DR22;7,700;6,545;;15%;-15%;($1,155)
nb-NO;ESDCDGS2020AM;223825;OL_DR22;7,700;6,545;;15%;-15%;($1,155)
nb-NO;ESDCDGS2020MAM;223826;OL_DR22;7,700;6,545;;15%;-15%;($1,155)
nl-NL;ESDCDGS2020AM;223825;OL_DR22;719;609;;15%;-15%;($110)
nl-NL;ESDCDGS2020MAM;223826;OL_DR22;719;609;;15%;-15%;($110)
pl-PL;ESDCDGS2020AM;223827;OL_DR22;3 199;2 719;;15%;-20%;($640)
pl-PL;ESDCDGS2020MAM;223828;OL_DR22;3 199;2 719;;15%;-20%;($640)
pt-BR;ESDCDGS2020AM;223823;OL_DR22;2.899;2.319;;20%;-20%;($580)
pt-BR;ESDCDGS2020MAM;223824;OL_DR22;2.899;2.319;;20%;-20%;($580)
se-SE;CDGS2020EFDPECOM;5362018000;OL_DR22;7,900;6,715;;15%;-15%;($1,185)
se-SE;ESDCDGS2020AM;223825;OL_DR22;7,900;6,715;;15%;-15%;($1,185)
se-SE;ESDCDGS2020MAM;223826;OL_DR22;7,900;6,715;;15%;-15%;($1,185)
zh-HK;ESDCDGS2020AM;223829;OL_DR22;5,099;3,815;;25%;-20%;($1,020)
zh-HK;ESDCDGS2020MAM;223830;OL_DR22;5,099;3,815;;25%;-20%;($1,020)
zh-TW;ESDCDGS2020AM;223829;OL_DR22;20,850;15,600;;25%;-20%;($4,170)
