en-CA;ESDCDS2020AM;225647;OL_DS22;385;344;;CA$ 40;-11%;($41)
cs-CZ;ESDCDS2020AM;225648;OL_DS22;10 870;9 783;;10%;-10%;($1,087)
da-DK;ESDCDS2020AM;225648;OL_DS22;3,015;2,713;;10%;-10%;($302)
de-DE;ESDCDS2020AM;225648;OL_DS22;355;319;;10 %;-10%;($36)
de-LI;ESDCDS2020AM;225648;OL_DS22;365;328;;10%;-10%;($37)
en-AU;ESDCDS2020AM;225648;OL_DS22;640;576;;10%;-10%;($64)
en-GB;ESDCDS2020AM;225648;OL_DS22;315;284;;10%;-10%;($31)
en-IE;ESDCDS2020AM;225648;OL_DS22;355;319;;10%;-10%;($36)
en-MY;ESDCDS2020AM;225648;OL_DS22;1,610;1,449;;10%;-10%;($161)
en-NZ;ESDCDS2020AM;225648;OL_DS22;685;616;;10%;-10%;($69)
en-RW;ESDCDS2020AM;225648;OL_DS22;419;377;;10%;-10%;($42)
en-SG;ESDCDS2020AM;225648;OL_DS22;539;485;;10%;-10%;($54)
en-US;ESDCDS2020AM;225647;OL_DS22;299;269;;$30;-10%;($30)
en-ZA;ESDCDS2020AM;225648;OL_DS22;7 645;6 880;;10%;-10%;($765)
es-AR;ESDCDS2020AM;225647;OL_DS22;22.650;20.385;;10%;-10%;($2,265)
es-CL;ESDCDS2020AM;225647;OL_DS22;302.339;272.105;;10%;-10%;($30,234)
es-CO;ESDCDS2020AM;225647;OL_DS22;1.672.700;1.505.430;;10%;-10%;($167,270)
es-ES;ESDCDS2020AM;225648;OL_DS22;355;319;;10%;-10%;($36)
es-MX;ESDCDS2020AM;225647;OL_DS22;8,665;7,798;;10%;-10%;($867)
es-PE;ESDCDS2020AM;225647;OL_DS22;1,200;1,080;;10%;-10%;($120)
fr-FR;ESDCDS2020AM;225648;OL_DS22;355;319;;10 %;-10%;($36)
it-IT;ESDCDS2020AM;225648;OL_DS22;355;319;;10%;-10%;($36)
ja-JP;ESDCDS2020AM;226501;OL_DS22;41,580;37,380;;10%;-10%;($4,200)
ko-KR;ESDCDS2020AM;225648;OL_DS22;432,800;389,520;;10%;-10%;($43,280)
nb-NO;ESDCDS2020AM;225648;OL_DS22;4,635;4,171;;10%;-10%;($464)
nl-NL;ESDCDS2020AM;225648;OL_DS22;355;319;;10%;-10%;($36)
pl-PL;ESDCDS2020AM;225648;OL_DS22;1 820;1 638;;10%;-10%;($182)
pt-BR;ESDCDS2020AM;225648;OL_DS22;1.855;1.669;;10%;-10%;($186)
se-SE;ESDCDS2020AM;225648;OL_DS22;4,445;4,000;;10%;-10%;($445)
zh-HK;ESDCDS2020AM;225648;OL_DS22;2,705;2,434;;10%;-10%;($271)
zh-TW;ESDCDS2020AM;225648;OL_DS22;11,090;9,981;;10%;-10%;($1,109)
