da-DK;ESDCPDFF1EN;140602;OL_PDF01;375;300;;20%;-20%;-$75
de-LI;ESDCPDFF1EN;140602;OL_PDF01;55.95;43.95;;20%;-21%;-$12
en-AU;ESDCPDFF1EN;140602;OL_PDF01;69.95;55.95;;20%;-20%;-$14
en-CA;CPDFF1ENMB;315158300;OL_PDF01;69.99;39.99;;CA$ 30;-43%;-$30
en-CA;ESDCPDFF1EN;140602;OL_PDF01;69.99;39.99;;CA$ 30;-43%;-$30
en-GB;ESDCPDFF1EN;140602;OL_PDF01;44.99;34.99;;20%;-22%;-$10
en-IE;ESDCPDFF1EN;140602;OL_PDF01;50;40;;20%;-20%;-$10
en-NZ;ESDCPDFF1EN;140602;OL_PDF01;79.95;63.95;;20%;-20%;-$16
en-US;CPDFF1ENMB;315158300;OL_PDF01;69.99;39.99;;$30;-43%;-$30
en-US;ESDCPDFF1EN;140602;OL_PDF01;69.99;39.99;;$30;-43%;-$30
en-ZA;ESDCPDFF1EN;140602;OL_PDF01;649;519;;20%;-20%;-$130
ja-JP;ESDCPDFF1EN;140602;OL_PDF01;8,300;6,580;;20%;-21%;-$1,720
nb-NO;ESDCPDFF1EN;140602;OL_PDF01;410;328;;20%;-20%;-$82
pt-BR;ESDCPDFF1EN;295667700;OL_PDF01;220;176;;20%;-20%;-$44
se-SE;ESDCPDFF1EN;140602;OL_PDF01;439.99;351;;20%;-20%;-$89
