en-CA;ESDPSP2020ULML;221287;PSP_2020_ULT;99.99;69.99;;30%;-30%;-$30
en-CA;ESDPSP2020ULMUG;221398;PSP_2020_ULT;79.99;54.99;;30%;-31%;-$25
de-DE;ESDPSP2020ULML;221287;PSP_2020_ULT;89,99;69,99;;20 %;-22%;-$20
de-DE;ESDPSP2020ULMUG;221398;PSP_2020_ULT;69,99;54,99;;20 %;-21%;-$15
da-DK;ESDPSP2020ULML;221287;PSP_2020_ULT;699;559;;20%;-20%;-$140
da-DK;ESDPSP2020ULMUG;221398;PSP_2020_ULT;549;439;;20%;-20%;-$110
en-AU;ESDPSP2020ULML;221287;PSP_2020_ULT;149;119;;20%;-20%;-$30
en-AU;ESDPSP2020ULMUG;221398;PSP_2020_ULT;119;95;;20%;-20%;-$24
en-GB;ESDPSP2020ULML;221287;PSP_2020_ULT;89.99;69.99;;20%;-22%;-$20
en-GB;ESDPSP2020ULMUG;221398;PSP_2020_ULT;69.99;54.99;;20%;-21%;-$15
en-US;ESDPSP2020ULML;221287;PSP_2020_ULT;99.99;69.99;;30%;-30%;-$30
en-US;ESDPSP2020ULMUG;221398;PSP_2020_ULT;79.99;54.99;;30%;-31%;-$25
es-ES;ESDPSP2020ULML;221287;PSP_2020_ULT;89,99;69,99;;20%;-22%;-$20
es-ES;ESDPSP2020ULMUG;221398;PSP_2020_ULT;69,99;54,99;;20%;-21%;-$15
es-MX;ESDPSP2020ULML;221287;PSP_2020_ULT;2,350;1,880;;20%;-20%;-$470
es-MX;ESDPSP2020ULMUG;221398;PSP_2020_ULT;1,900;1,520;;20%;-20%;-$380
fr-FR;ESDPSP2020ULML;221287;PSP_2020_ULT;89,99;69,99;;20 %;-22%;-$20
fr-FR;ESDPSP2020ULMUG;221398;PSP_2020_ULT;69,99;54,99;;20 %;-21%;-$15
it-IT;ESDPSP2020ULML;221287;PSP_2020_ULT;89,99;69,99;;20%;-22%;-$20
it-IT;ESDPSP2020ULMUG;221398;PSP_2020_ULT;69,99;54,99;;20%;-21%;-$15
ja-JP;ESDPSP2020ULML;221287;PSP_2020_ULT;13,800;11,080;;20%;-20%;-$2,720
ja-JP;ESDPSP2020ULMUG;221398;PSP_2020_ULT;9,480;7,580;;20%;-20%;-$1,900
ko-KR;ESDPSP2020ULML;221287;PSP_2020_ULT;110,000;88,000;;20%;-20%;-$22,000
ko-KR;ESDPSP2020ULMUG;221398;PSP_2020_ULT;88,000;70,400;;20%;-20%;-$17,600
nl-NL;ESDPSP2020ULML;221287;PSP_2020_ULT;89,99;69,99;;20%;-22%;-$20
nl-NL;ESDPSP2020ULMUG;221398;PSP_2020_ULT;69,99;54,99;;20%;-21%;-$15
zh-TW;ESDPSP2020ULML;221287;PSP_2020_ULT;3,800;3,040;;20%;-20%;-$760
zh-TW;ESDPSP2020ULMUG;221398;PSP_2020_ULT;3,200;2,560;;20%;-20%;-$640
