en-CA;ESDPSP2020ULML;221287;PSP_2020_ULT;99.99;49.99;;50%;-50%;($50)
en-CA;ESDPSP2020ULMUG;221398;PSP_2020_ULT;79.99;39.99;;50%;-50%;($40)
da-DK;ESDPSP2020ULML;221287;PSP_2020_ULT;699;349;;50%;-50%;($350)
da-DK;ESDPSP2020ULMUG;221398;PSP_2020_ULT;549;274;;50%;-50%;($275)
de-DE;ESDPSP2020ULML;221287;PSP_2020_ULT;89,99;44,99;;50 %;-50%;($45)
de-DE;ESDPSP2020ULMUG;221398;PSP_2020_ULT;69,99;34,99;;50 %;-50%;($35)
de-LI;ESDPSP2020ULML;221287;PSP_2020_ULT;99.95;49.95;;50%;-50%;($50)
de-LI;ESDPSP2020ULMUG;221398;PSP_2020_ULT;79.95;39.95;;50%;-50%;($40)
en-AU;ESDPSP2020ULML;221287;PSP_2020_ULT;149;74;;50%;-50%;($75)
en-AU;ESDPSP2020ULMUG;221398;PSP_2020_ULT;119;59;;50%;-50%;($60)
en-GB;ESDPSP2020ULML;221287;PSP_2020_ULT;89.99;44.99;;50%;-50%;($45)
en-GB;ESDPSP2020ULMUG;221398;PSP_2020_ULT;69.99;34.99;;50%;-50%;($35)
en-IE;ESDPSP2020ULML;221287;PSP_2020_ULT;89.99;44.99;;50%;-50%;($45)
en-IE;ESDPSP2020ULMUG;221398;PSP_2020_ULT;69.99;34.99;;50%;-50%;($35)
en-IN;ESDPSP2020ULML;221287;PSP_2020_ULT;6,500;3,250;;50%;-50%;($3,250)
en-IN;ESDPSP2020ULMUG;221398;PSP_2020_ULT;5,300;2,650;;50%;-50%;($2,650)
en-MY;ESDPSP2020ULML;221287;PSP_2020_ULT;420;210;;50%;-50%;($210)
en-MY;ESDPSP2020ULMUG;221398;PSP_2020_ULT;335;167;;50%;-50%;($168)
en-NZ;ESDPSP2020ULML;221287;PSP_2020_ULT;169;84;;50%;-50%;($85)
en-NZ;ESDPSP2020ULMUG;221398;PSP_2020_ULT;134;67;;50%;-50%;($67)
en-SG;ESDPSP2020ULML;221287;PSP_2020_ULT;149;74;;50%;-50%;($75)
en-SG;ESDPSP2020ULMUG;221398;PSP_2020_ULT;99;49;;50%;-51%;($50)
en-US;ESDPSP2020ULML;221287;PSP_2020_ULT;99.99;49.99;;50%;-50%;($50)
