en-CA;ESDPTR2021ML;226213;PTR_2021;499;419;;CA$ 80;-16%;($80)
en-CA;ESDPTR2021MLUG;226214;PTR_2021;269;227;;CA$ 40;-16%;($42)
da-DK;ESDPTR2021ML;226213;PTR_2021;3,228.99;2,744;;15%;-15%;($485)
da-DK;ESDPTR2021MLUG;226214;PTR_2021;1,668.98;1,418;;15%;-15%;($251)
de-DE;ESDPTR2021ML;226213;PTR_2021;424,95;359,95;;15 %;-15%;($65)
de-DE;ESDPTR2021MLUG;226214;PTR_2021;218,95;184,95;;15 %;-16%;($34)
de-LI;ESDPTR2021ML;226213;PTR_2021;434;368;;15%;-15%;($66)
de-LI;ESDPTR2021MLUG;226214;PTR_2021;229;194;;15%;-15%;($35)
en-AU;ESDPTR2021ML;226213;PTR_2021;614;521;;15%;-15%;($93)
en-AU;ESDPTR2021MLUG;226214;PTR_2021;328;278;;15%;-15%;($50)
en-GB;ESDPTR2021ML;226213;PTR_2021;359.99;304.99;;15%;-15%;($55)
en-GB;ESDPTR2021MLUG;226214;PTR_2021;179.99;152.99;;15%;-15%;($27)
en-IE;ESDPTR2021ML;226213;PTR_2021;424.95;359.95;;15%;-15%;($65)
en-IE;ESDPTR2021MLUG;226214;PTR_2021;218.95;184.95;;15%;-16%;($34)
en-IN;ESDPTR2021ML;226213;PTR_2021;27,900;;;;;
en-IN;ESDPTR2021MLUG;226214;PTR_2021;15,000;;;;;
en-MY;ESDPTR2021ML;226213;PTR_2021;1,350;1,147;;15%;-15%;($203)
en-MY;ESDPTR2021MLUG;226214;PTR_2021;725;616;;15%;-15%;($109)
en-NZ;ESDPTR2021ML;226213;PTR_2021;539;458;;15%;-15%;($81)
en-NZ;ESDPTR2021MLUG;226214;PTR_2021;269;228;;15%;-15%;($41)
en-SG;ESDPTR2021ML;226213;PTR_2021;549;466;;15%;-15%;($83)
en-SG;ESDPTR2021MLUG;226214;PTR_2021;290;246;;15%;-15%;($44)
en-US;ESDPTR2021ML;226213;PTR_2021;429;359;;$70;-16%;($70)
en-US;ESDPTR2021MLUG;226214;PTR_2021;229;189;;$40;-17%;($40)
en-ZA;ESDPTR2021ML;226213;PTR_2021;4 799;4 079;;15%;-15%;($720)
en-ZA;ESDPTR2021MLUG;226214;PTR_2021;2 599;2 209;;15%;-15%;($390)
es-MX;ESDPTR2021ML;226213;PTR_2021;5,575;4,738;;15%;-15%;($837)
es-MX;ESDPTR2021MLUG;226214;PTR_2021;2,900;2,465;;15%;-15%;($435)
fr-FR;ESDPTR2021ML;226213;PTR_2021;424,95;359,95;;15 %;-15%;($65)
fr-FR;ESDPTR2021MLUG;226214;PTR_2021;218,95;184,95;;15 %;-16%;($34)
ja-JP;ESDPTR2021ML;226213;PTR_2021;53,784;45,680;;15%;-15%;($8,104)
ja-JP;ESDPTR2021MLUG;226214;PTR_2021;26,784;22,800;;15%;-15%;($3,984)
ko-KR;ESDPTR2021ML;226213;PTR_2021;490,000;416,500;;15%;-15%;($73,500)
ko-KR;ESDPTR2021MLUG;226214;PTR_2021;260,000;221,000;;15%;-15%;($39,000)
nb-NO;ESDPTR2021ML;226213;PTR_2021;2,792;2,373;;15%;-15%;($419)
nb-NO;ESDPTR2021MLUG;226214;PTR_2021;1,432;1,217;;15%;-15%;($215)
pt-BR;ESDPTR2021ML;226213;PTR_2021;1.050;892;;15%;-15%;($158)
pt-BR;ESDPTR2021MLUG;226214;PTR_2021;600;510;;15%;-15%;($90)
se-SE;ESDPTR2021ML;226213;PTR_2021;3,570;3,034;;15%;-15%;($536)
se-SE;ESDPTR2021MLUG;226214;PTR_2021;1,905;1,619;;15%;-15%;($286)
zh-HK;ESDPTR2021ML;226213;PTR_2021;3,250;2,762;;15%;-15%;($488)
zh-HK;ESDPTR2021MLUG;226214;PTR_2021;1,750;1,487;;15%;-15%;($263)
zh-TW;ESDPTR2021ML;226213;PTR_2021;16,000;13,600;;15%;-15%;($2,400)
zh-TW;ESDPTR2021MLUG;226214;PTR_2021;9,000;7,650;;15%;-15%;($1,350)
