en-CA;ESDPVS2021ML;227071;PVB_2021;159.99;127.99;;20%;-20%;($32)
de-DE;ESDPVS2021ML;227071;PVB_2021;139,99;111,99;;20 %;-20%;($28)
de-LI;ESDPVS2021ML;227071;PVB_2021;159.95;127.95;;20%;-20%;($32)
en-AU;ESDPVS2021ML;227071;PVB_2021;249;199;;20%;-20%;($50)
en-GB;ESDPVS2021ML;227071;PVB_2021;139.99;111.99;;20%;-20%;($28)
en-IE;ESDPVS2021ML;227071;PVB_2021;139.99;111.99;;20%;-20%;($28)
en-IN;ESDPVS2021ML;227071;PVB_2021;10,400;8,320;;20%;-20%;($2,080)
en-MY;ESDPVS2021ML;227071;PVB_2021;670;536;;20%;-20%;($134)
en-NZ;ESDPVS2021ML;227071;PVB_2021;269;215;;20%;-20%;($54)
en-SG;ESDPVS2021ML;227071;PVB_2021;199;159;;20%;-20%;($40)
en-US;ESDPVS2021ML;227071;PVB_2021;159.99;127.99;;20%;-20%;($32)
en-ZA;ESDPVS2021ML;227071;PVB_2021;2 200;1 760;;20%;-20%;($440)
es-ES;ESDPVS2021ML;227071;PVB_2021;139,99;111,99;;20%;-20%;($28)
es-MX;ESDPVS2021ML;227071;PVB_2021;3,800;3,040;;20%;-20%;($760)
fr-FR;ESDPVS2021ML;227071;PVB_2021;139,99;111,99;;20 %;-20%;($28)
it-IT;ESDPVS2021ML;227071;PVB_2021;139,99;111,99;;20%;-20%;($28)
ja-JP;ESDPVS2021ML;227071;PVB_2021;23,480;18,780;;20%;-20%;($4,700)
ko-KR;ESDPVS2021ML;227071;PVB_2021;176,000;140,800;;20%;-20%;($35,200)
nb-NO;ESDPVS2021ML;227071;PVB_2021;1,198;958;;20%;-20%;($240)
nl-NL;ESDPVS2021ML;227071;PVB_2021;139,99;111,99;;20%;-20%;($28)
pl-PL;ESDPVS2021ML;227071;PVB_2021;599;479;;20%;-20%;($120)
pt-BR;ESDPVS2021ML;227071;PVB_2021;619;495;;20%;-20%;($124)
ru-RU;ESDPVS2021ML;227071;PVB_2021;6,510;;;;;
se-SE;ESDPVS2021ML;227071;PVB_2021;1,499;1,199;;20%;-20%;($300)
zh-HK;ESDPVS2021ML;227071;PVB_2021;1,240;992;;20%;-20%;($248)
zh-TW;ESDPVS2021ML;227071;PVB_2021;6,400;5,120;;20%;-20%;($1,280)
en-RW;ESDPVS2021ML;227071;PVB_2021;159.99;127.99;;20%;-20%;($32)
