en-CA;ESDPVS2020ULT;;220770;199.99;129.99;;35%;-50%;-$100
en-US;ESDPVS2020ULT;;220770;199.99;129.99;;35%;-50%;-$100
pt-BR;ESDPVS2020ULT;;220770;778;505;;35%;-35%;-$273
de-LI;ESDPVS2020ULT;;220770;199.95;129.95;;35%;-35%;-$70
da-DK;ESDPVS2020ULT;;220770;1,398;908;;35%;-35%;-$490
de-DE;ESDPVS2020ULT;;220770;179,99;114,99;;35 %;-33%;-$60
fr-FR;ESDPVS2020ULT;;220770;179,99;114,99;;35 %;-33%;-$60
en-GB;ESDPVS2020ULT;;220770;179.99;114.99;;35%;-33%;-$60
it-IT;ESDPVS2020ULT;;220770;179,99;114,99;;35%;-33%;-$60
nl-NL;ESDPVS2020ULT;;220770;179,99;114,99;;35%;-33%;-$60
ja-JP;ESDPVS2020ULT;;220770;27,580;17,880;;35%;-35%;-$9,700
