en-CA;ESDVS2020PRML;205839;VSP PRO 2018;79.99;47.99;;40%;-40%;($32);39.99;;50%;-50%;($40)
en-CA;ESDVS2020PRMLUG;205840;VSP PRO 2018;59.99;34.99;;40%;-42%;($25);29.99;;50%;-50%;($30)
de-DE;ESDVS2020PRML;205839;VSP PRO 2018;69,99;49,99;;25 %;-29%;($20);48.99;;30%;-30%;($21)
de-DE;ESDVS2020PRMLUG;205840;VSP PRO 2018;49,99;36,99;;25 %;-26%;($13);34.99;;30%;-30%;($15)
en-GB;ESDVS2020PRML;205839;VSP PRO 2018;69.99;49.99;;25%;-29%;($20);48.99;;30%;-30%;($21)
en-GB;ESDVS2020PRMLUG;205840;VSP PRO 2018;49.99;36.99;;25%;-26%;($13);34.99;;30%;-30%;($15)
en-US;ESDVS2020PRML;205839;VSP PRO 2018;79.99;47.99;;40%;-40%;($32);39.99;;50%;-50%;($40)
en-US;ESDVS2020PRMLUG;205840;VSP PRO 2018;59.99;34.99;;40%;-42%;($25);29.99;;50%;-50%;($30)
fr-FR;ESDVS2020PRML;205839;VSP PRO 2018;69,99;49,99;;25 %;-29%;($20);48.99;;30%;-30%;($21)
fr-FR;ESDVS2020PRMLUG;205840;VSP PRO 2018;49,99;36,99;;25 %;-26%;($13);34.99;;30%;-30%;($15)
ja-JP;ESDVS2020PRML;205839;VSP PRO 2018;13,824;10,280;;25%;-26%;($3,544);9676;;30%;-30%;($4,148)
ja-JP;ESDVS2020PRMLUG;205840;VSP PRO 2018;7,538;5,580;;25%;-26%;($1,958);5276;;30%;-30%;($2,262)
pt-BR;ESDVS2020PRML;205839;VSP PRO 2018;159;119;;25%;-25%;($40);111;;30%;-30%;($48)
