en-CA;ESDVS2020PRML;205839;VSP PRO 2018;79.99;54.99;;30%;-31%;($25);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40)
en-CA;ESDVS2020PRMLUG;205840;VSP PRO 2018;59.99;39.99;;30%;-33%;($20);34.99;;40%;-42%;($25);29.99;;50%;-50%;($30)
en-CA;VS2019PMLMBAM;5143658300;VSP PRO 2018;79.99;54.99;;30%;-31%;($25);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40)
de-DE;ESDVS2020PRML;205839;VSP PRO 2018;69,99;54,99;;20 %;-21%;($15);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21)
de-DE;ESDVS2020PRMLUG;205840;VSP PRO 2018;49,99;39,99;;20 %;-20%;($10);36.99;;25%;-26%;($13);34.99;;30%;-30%;($15)
en-GB;ESDVS2020PRML;205839;VSP PRO 2018;69.99;54.99;;20%;-21%;($15);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21)
en-GB;ESDVS2020PRMLUG;205840;VSP PRO 2018;49.99;39.99;;20%;-20%;($10);36.99;;25%;-26%;($13);34.99;;30%;-30%;($15)
en-US;ESDVS2020PRML;205839;VSP PRO 2018;79.99;54.99;;30%;-31%;($25);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40)
en-US;ESDVS2020PRMLUG;205840;VSP PRO 2018;59.99;39.99;;30%;-33%;($20);34.99;;40%;-42%;($25);29.99;;50%;-50%;($30)
en-US;VS2019PMLMBAM;5143658300;VSP PRO 2018;79.99;54.99;;30%;-31%;($25);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40)
fr-FR;ESDVS2020PRML;205839;VSP PRO 2018;69,99;54,99;;20 %;-21%;($15);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21)
fr-FR;ESDVS2020PRMLUG;205840;VSP PRO 2018;49,99;39,99;;20 %;-20%;($10);36.99;;25%;-26%;($13);34.99;;30%;-30%;($15)
ja-JP;ESDVS2020PRML;205839;VSP PRO 2018;13,824;11,059;;20%;-20%;($2,765);10368;;25%;-25%;($3,456);9676;;30%;-30%;($4,148)
ja-JP;ESDVS2020PRMLUG;205840;VSP PRO 2018;7,538;6,030;;20%;-20%;($1,508);5653;;25%;-25%;($1,885);5276;;30%;-30%;($2,262)
pt-BR;ESDVS2020PRML;205839;VSP PRO 2018;159;127;;20%;-20%;($32);119;;25%;-25%;($40);111;;30%;-30%;($48)
