da-DK;ESDWPX9HSEF;213747;OL_WP19HS;1,386;1,247;;10%;-10%;-$139
de-LI;ESDWPX9HSEF;213747;OL_WP19HS;200.95;180;;10%;-10%;-$21
en-AU;ESDWPX9HSEF;213747;OL_WP19HS;199.95;179.95;;10%;-10%;-$20
en-CA;ESDWPX9HSEF;213747;OL_WP19HS;129.99;103.99;;20%;-20%;-$26
en-CA;WPOX9HSEFMBAM;5181541300;OL_WP19HS;129.99;103.99;;20%;-20%;-$26
en-GB;ESDWPX9HSEF;213747;OL_WP19HS;124.99;111.99;;10%;-10%;-$13
en-IE;ESDWPX9HSEF;213747;OL_WP19HS;164.99;147.99;;10%;-10%;-$17
en-NZ;ESDWPX9HSEF;213747;OL_WP19HS;199.95;179.95;;10%;-10%;-$20
en-US;ESDWPX9HSEF;213747;OL_WP19HS;99.99;79.99;;20%;-20%;-$20
en-US;WPOX9HSEFMBAM;5181541300;OL_WP19HS;99.99;79.99;;20%;-20%;-$20
en-ZA;ESDWPX9HSEF;213747;OL_WP19HS;1099,00;989;;10%;-10%;-$110
ja-JP;ESDWPX9HSEF;213747;OL_WP19HS;18,308;16,380;;10%;-11%;-$1;928
nb-NO;ESDWPX9HSEF;213747;OL_WP19HS;1,386;1,247;;10%;-10%;-$139
pt-BR;ESDWPX9HSEF;5181542100;OL_WP19HS;498;448;;10%;-10%;-$50
se-SE;ESDWPX9HSEF;213747;OL_WP19HS;1,522.99;1,370;;10%;-10%;-$153
