en-CA;ESDWP2020HSEF;225510;OL_WP20HS;129.99;94.99;;25%;-27%;($35)
en-CA;WP2020HSEFMBAM;5394942900;OL_WP20HS;129.99;94.99;;25%;-27%;($35)
da-DK;ESDWP2020HSEF;225510;OL_WP20HS;1,386;1,039;;25%;-25%;($347)
de-LI;ESDWP2020HSEF;225510;OL_WP20HS;200.95;150;;25%;-25%;($51)
en-AU;ESDWP2020HSEF;225510;OL_WP20HS;199.95;149.95;;25%;-25%;($50)
en-GB;ESDWP2020HSEF;225510;OL_WP20HS;124.99;92.99;;25%;-26%;($32)
en-IE;ESDWP2020HSEF;225510;OL_WP20HS;164.99;122.99;;25%;-25%;($42)
en-NZ;ESDWP2020HSEF;225510;OL_WP20HS;199.95;149.95;;25%;-25%;($50)
en-US;ESDWP2020HSEF;225510;OL_WP20HS;99.99;74.99;;25%;-25%;($25)
en-US;WP2020HSEFMBAM;5394942900;OL_WP20HS;99.99;74.99;;25%;-25%;($25)
en-ZA;ESDWP2020HSEF;225510;OL_WP20HS;1 099;824;;25%;-25%;($275)
fr-FR;ESDWP2020HSEF;225510;OL_WP20HS;164,99;;;;;
ja-JP;ESDWP2020HSEF;225510;OL_WP20HS;18,308;13,680;;25%;-25%;($4,628)
nb-NO;ESDWP2020HSEF;225510;OL_WP20HS;1,386;1,039;;25%;-25%;($347)
pt-BR;ESDWP2020HSEF;225510;OL_WP20HS;498;373;;25%;-25%;($125)
se-SE;ESDWP2020HSEF;225510;OL_WP20HS;1,522.99;1,142;;25%;-25%;($381)
en-RW;ESDWP2020HSEF;225510;OL_WP20HS;99.99;74.99;;25%;-25%;($25)
