da-DK;ESDWPX9PREF;213729;OL_WP19PRO;5,547;4,992;;10%;-10%;-$555
da-DK;ESDWPX9PREFUG;213731;OL_WP19PRO;2,799;2,519;;10%;-10%;-$280
de-LI;ESDWPX9PREF;213729;OL_WP19PRO;806.95;726;;10%;-10%;-$81
de-LI;ESDWPX9PREFUG;213731;OL_WP19PRO;406.95;366;;10%;-10%;-$41
en-AU;ESDWPX9PREF;213729;OL_WP19PRO;449.95;404.95;;10%;-10%;-$45
en-AU;ESDWPX9PREFUG;213731;OL_WP19PRO;299.95;269.95;;10%;-10%;-$30
en-CA;ESDWPX9PREF;213729;OL_WP19PRO;519.99;309.99;;CA$ 210;-40%;-$210
en-CA;ESDWPX9PREFUG;213731;OL_WP19PRO;337.99;199.99;;CA$ 135;-41%;-$138
en-CA;WPOX9PREFDVDAM;5181541100;OL_WP19PRO;519.99;309.99;;CA$ 210;-40%;-$210
en-CA;WPOX9PREFDVDUGAM;5181541200;OL_WP19PRO;337.99;199.99;;CA$ 135;-41%;-$138
en-GB;ESDWPX9PREF;213729;OL_WP19PRO;514.99;462.99;;10%;-10%;-$52
en-GB;ESDWPX9PREFUG;213731;OL_WP19PRO;254.99;228.99;;10%;-10%;-$26
en-IE;ESDWPX9PREF;213729;OL_WP19PRO;664.99;597.99;;10%;-10%;-$67
en-IE;ESDWPX9PREFUG;213731;OL_WP19PRO;334.99;299.99;;10%;-10%;-$35
en-MY;ESDWPX9PREF;213729;OL_WP19PRO;1,290;1,161;;10%;-10%;-$129
en-MY;ESDWPX9PREFUG;213731;OL_WP19PRO;890;801;;10%;-10%;-$89
en-NZ;ESDWPX9PREF;213729;OL_WP19PRO;449.95;404.95;;10%;-10%;-$45
en-NZ;ESDWPX9PREFUG;213731;OL_WP19PRO;299.95;269.95;;10%;-10%;-$30
en-SG;ESDWPX9PREF;213729;OL_WP19PRO;449;404;;10%;-10%;-$45
en-SG;ESDWPX9PREFUG;213731;OL_WP19PRO;299;269;;10%;-10%;-$30
en-US;ESDWPX9PREF;213729;OL_WP19PRO;399.99;239.99;;$160;-40%;-$160
en-US;ESDWPX9PREFUG;213731;OL_WP19PRO;259.99;154.99;;$105;-40%;-$105
en-US;WPOX9PREFDVDAM;5181541100;OL_WP19PRO;399.99;239.99;;$160;-40%;-$160
en-US;WPOX9PREFDVDUGAM;5181541200;OL_WP19PRO;259.99;154.99;;$105;-40%;-$105
en-ZA;ESDWPX9PREF;213729;OL_WP19PRO;4299,00;3869,00;;10%;-10%;-$430
en-ZA;ESDWPX9PREFUG;213731;OL_WP19PRO;2799,00;2519,00;;10%;-10%;-$280
ja-JP;ESDWPX9PREF;213729;OL_WP19PRO;61,508;55,280;;10%;-10%;-$6;228
ja-JP;ESDWPX9PREFUG;213731;OL_WP19PRO;33,737;30,280;;10%;-10%;-$3;457
nb-NO;ESDWPX9PREF;213729;OL_WP19PRO;5,547;4,992;;10%;-10%;-$555
nb-NO;ESDWPX9PREFUG;213731;OL_WP19PRO;2,799;2,519;;10%;-10%;-$280
pt-BR;ESDWPX9PREF;5181541900;OL_WP19PRO;1,994;1,794;;10%;-10%;-$200
pt-BR;ESDWPX9PREFUG;5181542000;OL_WP19PRO;1,006;905;;10%;-10%;-$101
se-SE;ESDWPX9PREF;213729;OL_WP19PRO;6092,99;5483;;10%;-10%;-$610
se-SE;ESDWPX9PREFUG;213731;OL_WP19PRO;3,073.99;2,766.00;;10%;-10%;-$308
