en-CA;ESDWP2020STDEF;225475;OL_WP20;324.99;244.99;;CA$ 80;-25%;($80)
da-DK;ESDWP2020STDEF;225475;OL_WP20;3,088.99;2,316;;25%;-25%;($773)
de-LI;ESDWP2020STDEF;225475;OL_WP20;449;336;;25%;-25%;($113)
en-AU;ESDWP2020STDEF;225475;OL_WP20;399.95;299.95;;25%;-25%;($100)
en-GB;ESDWP2020STDEF;225475;OL_WP20;319.99;239.99;;25%;-25%;($80)
en-IE;ESDWP2020STDEF;225475;OL_WP20;414.99;;;;;
en-IN;ESDWP2020STDEF;225475;OL_WP20;26,000;;;;;
en-MY;ESDWP2020STDEF;225475;OL_WP20;990;742;;25%;-25%;($248)
en-NZ;ESDWP2020STDEF;225475;OL_WP20;399.95;299.95;;25%;-25%;($100)
en-SG;ESDWP2020STDEF;225475;OL_WP20;399;299;;25%;-25%;($100)
en-US;ESDWP2020STDEF;225475;OL_WP20;249.99;184.99;;$65 ;-26%;($65)
en-ZA;ESDWP2020STDEF;225475;OL_WP20;2 699;2 024;;25%;-25%;($675)
fr-FR;ESDWP2020STDEF;225475;OL_WP20;414,99;;;;;
ja-JP;ESDWP2020STDEF;225475;OL_WP20;44,021;32,880;;25%;-25%;($11,141)
nb-NO;ESDWP2020STDEF;225475;OL_WP20;3,460;2,595;;25%;-25%;($865)
pt-BR;ESDWP2020STDEF;225475;OL_WP20;500;375;;25%;-25%;($125)
se-SE;ESDWP2020STDEF;225475;OL_WP20;3,944.99;2,958;;25%;-25%;($987)
en-RW;ESDWP2020STDEF;225475;OL_WP20;249.99;184.99;;25%;-26%;($65)
