en-CA;ESDWD12PRML;180082;WinDVD Pro 12;79.99;31.99;;60%;-60%;($48)
en-CA;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59.99;23.99;;60%;-60%;($36)
da-DK;ESDWD12PRML;180082;WinDVD Pro 12;549;219;;60%;-60%;($330)
da-DK;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;389;155;;60%;-60%;($234)
de-DE;ESDWD12PRML;180082;WinDVD Pro 12;69,99;27,99;;60 %;-60%;($42)
de-DE;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49,99;1,99;;60 %;-60%;($30)
de-LI;ESDWD12PRML;180082;WinDVD Pro 12;89.95;35.95;;60%;-60%;($54)
de-LI;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59.95;23.95;;60%;-60%;($36)
en-AU;ESDWD12PRML;180082;WinDVD Pro 12;79;31;;60%;-61%;($48)
en-AU;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59;23;;60%;-61%;($36)
en-GB;ESDWD12PRML;180082;WinDVD Pro 12;69.99;27.99;;60%;-60%;($42)
en-GB;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;44.99;17.99;;60%;-60%;($27)
en-IE;ESDWD12PRML;180082;WinDVD Pro 12;69.99;27.99;;60%;-60%;($42)
en-IE;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49.99;19.99;;60%;-60%;($30)
en-NZ;ESDWD12PRML;180082;WinDVD Pro 12;89;35;;60%;-61%;($54)
en-NZ;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;69;27;;60%;-61%;($42)
en-US;ESDWD12PRML;180082;WinDVD Pro 12;79.99;31.99;;60%;-60%;($48)
en-US;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59.99;23.99;;60%;-60%;($36)
en-ZA;ESDWD12PRML;180082;WinDVD Pro 12;799;319;;60%;-60%;($480)
en-ZA;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;599;239;;60%;-60%;($360)
es-ES;ESDWD12PRML;180082;WinDVD Pro 12;69,99;27,99;;60%;-60%;($42)
es-ES;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49,99;19,99;;60%;-60%;($30)
es-MX;ESDWD12PRML;180082;WinDVD Pro 12;999;399;;60%;-60%;($600)
es-MX;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;799;319;;60%;-60%;($480)
fr-FR;ESDWD12PRML;180082;WinDVD Pro 12;69,99;27,99;;60 %;-60%;($42)
fr-FR;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49,99;19,99;;60 %;-60%;($30)
it-IT;ESDWD12PRML;180082;WinDVD Pro 12;69,99;27,99;;60%;-60%;($42)
it-IT;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49,99;19,99;;60%;-60%;($30)
ja-JP;ESDWD12PRML;180082;WinDVD Pro 12;7,020;3,880;;45%;-45%;($3,140)
ja-JP;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;5,832;3,180;;45%;-45%;($2,652)
nb-NO;ESDWD12PRML;180082;WinDVD Pro 12;699;279;;60%;-60%;($420)
nb-NO;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;499;199;;60%;-60%;($300)
nl-NL;ESDWD12PRML;180082;WinDVD Pro 12;69,99;27,99;;60%;-60%;($42)
nl-NL;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49,99;19,99;;60%;-60%;($30)
pl-PL;ESDWD12PRML;180082;WinDVD Pro 12;299;119;;60%;-60%;($180)
pl-PL;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;229;91;;60%;-60%;($138)
pt-BR;ESDWD12PRML;180082;WinDVD Pro 12;239;95;;60%;-60%;($144)
pt-BR;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;149;59;;60%;-60%;($90)
ru-RU;ESDWD12PRML;180082;WinDVD Pro 12;4,000;;;;;
ru-RU;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;3,000;;;;;
se-SE;ESDWD12PRML;180082;WinDVD Pro 12;679;271;;60%;-60%;($408)
se-SE;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;489;195;;60%;-60%;($294)
en-RW;ESDWD12PRML;180082;WinDVD Pro 12;79.99;31.99;;60%;-60%;($48)
en-RW;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59.99;23.99;;60%;-60%;($36)
